Tarih,MGM_Gerçek,AgroFrost_Tahmin,Durum
11-02-2017,-2.2°C,-3.9°C,✅ DOĞRULANDI
12-02-2017,-4.0°C,-2.4°C,✅ DOĞRULANDI
14-02-2017,-7.0°C,-8.1°C,✅ DOĞRULANDI
17-02-2017,-9.2°C,-7.0°C,✅ DOĞRULANDI
18-02-2017,-10.6°C,-9.5°C,✅ DOĞRULANDI
19-02-2017,-7.0°C,-9.7°C,✅ DOĞRULANDI
20-02-2017,-6.5°C,-7.2°C,✅ DOĞRULANDI
21-02-2017,-4.6°C,-7.0°C,✅ DOĞRULANDI
22-02-2017,-3.3°C,-5.2°C,✅ DOĞRULANDI
23-02-2017,-2.9°C,-4.0°C,✅ DOĞRULANDI
24-02-2017,-2.7°C,-4.7°C,✅ DOĞRULANDI
25-02-2017,-1.2°C,-3.1°C,✅ DOĞRULANDI
26-02-2017,-0.4°C,-2.5°C,✅ DOĞRULANDI
27-02-2017,-0.1°C,-2.1°C,✅ DOĞRULANDI
28-02-2017,-2.0°C,-2.3°C,✅ DOĞRULANDI
05-03-2017,-2.2°C,-0.7°C,✅ DOĞRULANDI
06-03-2017,-2.0°C,-2.5°C,✅ DOĞRULANDI
07-03-2017,-0.2°C,-0.5°C,✅ DOĞRULANDI
08-03-2017,-0.5°C,-0.5°C,✅ DOĞRULANDI
13-03-2017,-0.3°C,-2.7°C,✅ DOĞRULANDI
18-03-2017,-2.0°C,-2.1°C,✅ DOĞRULANDI
19-03-2017,-4.1°C,-4.4°C,✅ DOĞRULANDI
11-04-2017,-0.3°C,-1.2°C,✅ DOĞRULANDI
02-11-2017,-2.3°C,-2.1°C,✅ DOĞRULANDI
03-11-2017,-4.1°C,-2.6°C,✅ DOĞRULANDI
04-11-2017,-0.1°C,-1.6°C,✅ DOĞRULANDI
11-11-2017,-0.1°C,-0.1°C,✅ DOĞRULANDI
12-11-2017,-0.6°C,-0.7°C,✅ DOĞRULANDI
22-11-2017,-3.6°C,-3.7°C,✅ DOĞRULANDI
25-11-2017,-2.1°C,-0.5°C,✅ DOĞRULANDI
26-11-2017,-2.3°C,-2.3°C,✅ DOĞRULANDI
27-11-2017,-0.1°C,-2.0°C,✅ DOĞRULANDI
30-11-2017,-3.2°C,-1.9°C,✅ DOĞRULANDI
02-12-2017,-1.6°C,-1.9°C,✅ DOĞRULANDI
03-12-2017,-0.3°C,-1.6°C,✅ DOĞRULANDI
04-12-2017,-0.1°C,-1.2°C,✅ DOĞRULANDI
06-12-2017,-2.0°C,-3.4°C,✅ DOĞRULANDI
07-12-2017,-5.1°C,-7.0°C,✅ DOĞRULANDI
08-12-2017,-7.3°C,-7.2°C,✅ DOĞRULANDI
09-12-2017,-6.0°C,-6.9°C,✅ DOĞRULANDI
10-12-2017,-3.5°C,-5.5°C,✅ DOĞRULANDI
11-12-2017,-1.0°C,-3.2°C,✅ DOĞRULANDI
12-12-2017,-2.1°C,-2.1°C,✅ DOĞRULANDI
13-12-2017,-2.4°C,-3.8°C,✅ DOĞRULANDI
14-12-2017,-3.7°C,-3.9°C,✅ DOĞRULANDI
15-12-2017,-4.5°C,-5.4°C,✅ DOĞRULANDI
16-12-2017,-2.7°C,-4.9°C,✅ DOĞRULANDI
24-12-2017,-1.3°C,-0.6°C,✅ DOĞRULANDI
25-12-2017,-5.4°C,-7.0°C,✅ DOĞRULANDI
26-12-2017,-8.3°C,-7.1°C,✅ DOĞRULANDI
28-12-2017,-7.0°C,-6.4°C,✅ DOĞRULANDI
30-12-2017,-1.0°C,-1.0°C,✅ DOĞRULANDI
01-01-2018,-1.0°C,-3.2°C,✅ DOĞRULANDI
02-01-2018,-4.0°C,-2.8°C,✅ DOĞRULANDI
03-01-2018,-1.5°C,-4.1°C,✅ DOĞRULANDI
05-01-2018,-1.1°C,-2.6°C,✅ DOĞRULANDI
07-01-2018,-5.1°C,-2.7°C,✅ DOĞRULANDI
10-01-2018,-1.0°C,-3.4°C,✅ DOĞRULANDI
11-01-2018,-1.4°C,-4.0°C,✅ DOĞRULANDI
15-01-2018,-0.2°C,-2.4°C,✅ DOĞRULANDI
16-01-2018,-3.2°C,-4.1°C,✅ DOĞRULANDI
18-01-2018,-1.0°C,-1.0°C,✅ DOĞRULANDI
19-01-2018,-3.0°C,-2.4°C,✅ DOĞRULANDI
20-01-2018,-7.6°C,-7.4°C,✅ DOĞRULANDI
24-01-2018,-3.0°C,-3.6°C,✅ DOĞRULANDI
25-01-2018,-5.0°C,-7.2°C,✅ DOĞRULANDI
29-01-2018,-5.0°C,-4.6°C,✅ DOĞRULANDI
31-01-2018,-7.4°C,-8.2°C,✅ DOĞRULANDI
01-02-2018,-6.6°C,-6.8°C,✅ DOĞRULANDI
02-02-2018,-6.5°C,-7.9°C,✅ DOĞRULANDI
07-02-2018,-1.6°C,-2.0°C,✅ DOĞRULANDI
14-02-2018,-1.2°C,-1.7°C,✅ DOĞRULANDI
19-02-2018,-4.8°C,-3.7°C,✅ DOĞRULANDI
24-02-2018,-0.7°C,-0.0°C,✅ DOĞRULANDI
01-03-2018,-0.2°C,-0.3°C,✅ DOĞRULANDI
02-03-2018,-2.7°C,-3.9°C,✅ DOĞRULANDI
31-03-2018,-1.2°C,-0.1°C,✅ DOĞRULANDI
27-10-2018,-2.2°C,-1.9°C,✅ DOĞRULANDI
15-11-2018,-3.3°C,-2.1°C,✅ DOĞRULANDI
17-11-2018,-4.2°C,-3.0°C,✅ DOĞRULANDI
26-11-2018,-1.8°C,-0.5°C,✅ DOĞRULANDI
08-12-2018,-0.4°C,-3.3°C,✅ DOĞRULANDI
09-12-2018,-3.0°C,-3.1°C,✅ DOĞRULANDI
13-12-2018,-5.0°C,-3.4°C,✅ DOĞRULANDI
22-12-2018,-2.0°C,-0.9°C,✅ DOĞRULANDI
23-12-2018,-1.5°C,-1.9°C,✅ DOĞRULANDI
24-12-2018,-0.6°C,-2.2°C,✅ DOĞRULANDI
